"Qty","Designator","Part","Comment","Footprint"
"1","C742","CAP","1p8","CAP_0402"
"1","C739","CAP","3p9","CAP_0402"
"2","C748,C750","CAP","10p","CAP_0402"
"1","C601","CAP","4n7","CAP_0402"
"1","C753","CAP","10n","CAP_0402"
"49","C604,C605,C606,C607,C731,C732,C735,C736,C737,C738,C740,C741,C744,C745,C747,C749,C751,C752,C756,C757,C801,C901,C902,C905,C906,C909,C910,C913,C914,C1001,C1002,C1003,C1004,C1005,C1006,C1013,C1014,C1015,C1019,C1023,C1027,C1028,C1029,C1030,C1031,C1032,C1048,C1049,C1050","CAP","100n","CAP_0402"
"8","C602,C603,C733,C734,C746,C754,C755,C758","CAP","1u","CAP_0402"
"1","C743","CAP","10u","CAP_0402"
"8","D901,D902,D905,D906,D909,D910,D913,D914","UI_WS2812C-2020","WS2812C-2020","UI_WS2812C-2020"
"1","J701","Conn_Coaxial","C5137195","U.FL_Molex_MCRF_73412-0110_Vertical"
"1","J601","USB_C_TYPE-C-32-M-12","TYPE-C-32-M-12","USB_C_Korean_Hroparts_TYPE-C-31-M-12"
"1","L701","INDUCTOR","1n8","IND_0402"
"1","L702","FERRIT","GZ2012D601TF","FERRIT_0805"
"4","R1005,R1006,R1007,R1008","RES","470R","RES_0402"
"6","R733,R736,R1001,R1002,R1003,R1004","RES","1k","RES_0402"
"23","R602,R603,R701,R729,R734,R735,R801,R1027,R1028,R1029,R1030,R1039,R1040,R1041,R1042,R1045,R1046,R1047,R1048,R1081,R1082,R1083,R1084","RES","5k1","RES_0402"
"8","R1025,R1026,R1037,R1038,R1043,R1044,R1079,R1080","RES","10k","RES_0402"
"1","R601","RES","1M","RES_0402"
"1","SW701","SW_SPST","C255807","SW_HYP_MAPMODE"
"2","SW702,SW703","SW_SPST","C2905169","SW_SPST_CK_RS282G05A3"
"3","U801,U1001,U1005","74HC165","74HC165","SOIC-16_74HC165"
"1","U604","74LVC1G08","74LVC1G08","SOT-23-5-AND-TSSOP5"
"6","U605,U606,U607,U608,U1010,U1011","BL1551B","BL1551B","SOT-363_SC-70-6"
"2","U602,U603","U_ESD_4ch","C5451661","SOT-23-6"
"1","U704","ESP32-S3","ESP32-S3","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm"
"1","U601","U_REGULATOR_SOT23-5","LN1134A332MR-G","SOT-23-5"
"1","U703","RP2040","RP2040","RP2040_QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm"
"1","U705","U_FLASH_W25Q16JVSSIQ","W25Q64JVSSIQ","SOIC-8W_FLASH"
"4","UI1005,UI1007,UI1008,UI1014","UI_Rotary_Encoder_Switch","ED1115S-20P-20C-13.5F/LAL/N=5/F=7","UI_ENCODER_SONGHUEI"
"4","UI1001,UI1002,UI1003,UI1004","UI_Fader","SL6015N-B10K L-10C/M/DC","UI_FADER_TT_long"
"1","Y701","ESP32_XTAL","40MHz","Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm"
