Designator,Helper,Footprint,Mid X,Mid Y,Rotation,Layer
C505,100n,CAP_0402,-41.3544,-43.1144,270.0000,top
C506,100n,CAP_0402,-15.4781,-43.1144,270.0000,top
C507,100n,CAP_0402,10.3981,-43.1144,270.0000,top
C508,100n,CAP_0402,36.2744,-43.1144,270.0000,top
C509,100n,CAP_0402,-41.2500,-27.0000,270.0000,top
C510,100n,CAP_0402,-15.5000,-27.0000,270.0000,top
C511,100n,CAP_0402,10.5000,-27.0000,270.0000,top
C512,100n,CAP_0402,36.2500,-27.0000,270.0000,top
C601,4n7,CAP_0402,3.0000,43.5000,0.0,bottom
C602,1u,CAP_0402,-3.0000,35.0000,180.0,bottom
C603,1u,CAP_0402,-1.0000,35.0000,180.0,bottom
C604,100n,CAP_0402,4.0000,40.2500,270.0000,top
C605,100n,CAP_0402,-4.0000,40.2500,270.0000,top
C606,100n,CAP_0402,-4.0000,37.5000,90.0000,top
C607,100n,CAP_0402,4.0000,37.5000,90.0000,top
C731,100n,CAP_0402,1.0000,5.2500,270.0,bottom
C732,100n,CAP_0402,-2.0000,-5.2500,90.0,bottom
C733,1u,CAP_0402,1.0000,-5.2500,90.0,bottom
C734,1u,CAP_0402,2.0000,-5.2500,90.0,bottom
C735,100n,CAP_0402,-5.2500,-2.5000,0.0,bottom
C736,100n,CAP_0402,-5.2500,1.0000,0.0,bottom
C737,100n,CAP_0402,-0.2500,5.2500,270.0,bottom
C738,100n,CAP_0402,5.2500,1.0000,180.0,bottom
C739,3p9,CAP_0402,5.7500,-4.2500,90.0000,top
C740,100n,CAP_0402,4.5000,-5.2500,90.0,bottom
C741,100n,CAP_0402,3.0000,-5.2500,90.0,bottom
C742,1p8,CAP_0402,5.2500,-2.7500,0.0000,top
C743,10u,CAP_0402,-1.0000,-7.2500,270.0,bottom
C744,100n,CAP_0402,-1.0000,-5.2500,90.0,bottom
C745,100n,CAP_0402,0.0000,-5.2500,90.0,bottom
C746,1u,CAP_0402,0.0000,-7.2500,270.0,bottom
C747,100n,CAP_0402,1.0000,-7.2500,270.0,bottom
C748,10p,CAP_0402,2.1000,-8.0000,0.0000,top
C749,100n,CAP_0402,5.2500,-1.5000,0.0000,top
C750,10p,CAP_0402,0.3500,-8.0000,180.0000,top
C751,100n,CAP_0402,1.0000,5.2500,90.0000,top
C752,100n,CAP_0402,-1.2500,-5.2500,270.0000,top
C753,10n,CAP_0402,2.0000,-5.2500,270.0000,top
C754,1u,CAP_0402,3.0000,-5.2500,270.0000,top
C755,1u,CAP_0402,1.0000,11.7500,90.0000,top
C756,100n,CAP_0402,1.0000,9.7500,270.0000,top
C757,100n,CAP_0402,-1.0000,-42.5000,270.0000,top
C758,1u,CAP_0402,-1.2500,-13.2500,90.0000,top
C801,100n,CAP_0402,-2.5000,21.1125,180.0000,top
C901,100n,CAP_0402,-42.2910,47.6250,270.0000,top
C902,100n,CAP_0402,-42.2910,25.4000,270.0000,top
C903,100n,CAP_0402,-41.1004,-34.1154,270.0000,top
C904,100n,CAP_0402,-15.6210,47.6250,270.0000,top
C905,100n,CAP_0402,-15.6210,25.4000,270.0000,top
C906,100n,CAP_0402,-15.2241,-34.1154,270.0000,top
C907,100n,CAP_0402,11.0490,47.6250,270.0000,top
C908,100n,CAP_0402,11.0490,25.4000,270.0000,top
C909,100n,CAP_0402,10.6521,-34.1154,270.0000,top
C910,100n,CAP_0402,37.7190,47.6250,270.0000,top
C911,100n,CAP_0402,37.7190,25.4000,270.0000,top
C912,100n,CAP_0402,36.5284,-34.1154,270.0000,top
C1001,100n,CAP_0402,-27.3050,4.9530,90.0000,top
